
2025/03/06 (14:57:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (14:57:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (14:59:28) | ===> btop++ v.1.4.0
2025/03/06 (14:59:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (14:59:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (14:59:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (14:59:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (15:02:43) | ===> btop++ v.1.4.0
2025/03/06 (15:02:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (15:02:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (15:02:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (15:02:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (15:03:20) | ===> btop++ v.1.4.0
2025/03/06 (15:03:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (15:03:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (15:03:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (15:03:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (15:16:14) | ===> btop++ v.1.4.0
2025/03/06 (15:16:14) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (15:16:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (15:16:14) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (15:16:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (15:16:29) | ===> btop++ v.1.4.0
2025/03/06 (15:16:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (15:16:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (15:16:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (15:16:29) | WARNING: ROCm SMI: Failed to get PCIe throughput
